Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
256,LeverkusenVSFCKöln_Away,0,69077479-a638-4838-b54c-8e918a5350ad,86bbd18b-68d1-4d25-9168-fa49b9a77903,0.04683825,921,945,1,9.167698000000001,41.72943450370596,5,2,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,3,0,21,23,11,10,8,0.4998076183147364,2,18.638669480410876,22.220682819482747,1,24.556533333333334
257,LeverkusenVSFCKöln_Away,0,3c231f08-f99b-48c6-b5bd-684f31a4ee14,3be130ef-a19b-464b-8963-2a22e7bd07c4,0.012014611,1109,1140,1,23.158559,162.95588451146585,7,8,0,0,0,0,0,0,3,0,1,1,3,0,5,3,3,4,4,4,0,1,0,0,0,0,16,18,12,12,8,0.5488994148787962,0,27.606520968785624,13.293087775149296,1,30.978633333333335
258,LeverkusenVSFCKöln_Away,0,95c4ead2-38ea-4a5e-a973-d705a0552b18,a0691777-0de3-4f4f-9291-72e1c3afc3fd,0.681413878,1357,1404,3,33.225928003,269.1713263698231,8,14,0,1,5,0,0,0,0,0,0,0,0,0,0,1,3,2,11,0,3,1,13,7,1,0,20,22,20,17,12,0.5215801024140453,1,4.004996878900157,94.15200183942781,1,36.897016666666666
259,LeverkusenVSFCKöln_Away,0,3aa1c41c-d7d7-4fa5-9071-3492d7801027,171bd4ac-8a2a-4e84-ae6e-cceb58bcf4df,0.018504012,1482,1572,1,97.41940700000004,634.5921172943254,9,29,1,4,1,2,5,11,0,2,3,2,0,0,7,8,6,7,6,0,1,13,5,2,0,4,6,22,39,31,23,0.5303308823529411,1,16.825278600962303,12.836696511863279,1,40.810716666666664
260,LeverkusenVSFCKöln_Away,0,6a352f47-6485-4163-a802-9f817fafae08,c418bca9-ed14-4250-8651-2a1add67bdaa,0.025937038,2098,2110,1,8.418092,102.38938793132095,5,3,0,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,3,0,4,0,0,0,0,3,18,8,8,2,0.6575488454706928,3,27.13171575849931,16.88957024426041,2,51.85451666666667
261,LeverkusenVSFCKöln_Away,0,434417ed-5698-4a29-9936-358cc3b66708,efb7b90c-5499-49d5-86e0-c877ef79108f,0.108318739,2116,2285,3,151.39177999999998,1198.192442329614,11,48,0,14,2,0,3,5,2,1,7,7,5,3,6,11,26,13,7,1,16,16,1,5,6,12,11,22,78,65,49,0.5124266547071794,3,9.790812019439446,42.05585930910775,2,56.4109
262,LeverkusenVSFCKöln_Away,0,b5ae28c3-cb20-493d-b682-f626840932d4,b16070b3-a85a-4cc0-8bfc-3b2ca56b0ed4,0.07883965,2720,2842,1,113.443719,786.6573212194959,10,39,0,1,0,3,0,3,3,2,4,9,3,1,15,8,18,14,18,0,0,6,11,3,0,0,9,22,42,38,33,0.5233991873336137,2,11.405700329221348,24.853959865279613,2,72.13485
263,LeverkusenVSFCKöln_Away,0,c6eb6107-09bc-47fd-9f30-da9955b7d608,1216868c-b069-470f-a91f-e37d6887c208,0.084233144,2898,3052,2,140.34011799999988,986.6305175910021,10,45,0,1,2,1,2,4,3,2,1,0,2,3,11,10,17,18,24,13,16,11,6,7,1,0,17,18,62,55,42,0.5058041009998304,2,27.370056631289607,16.046135659457327,2,76.7481
264,LeverkusenVSFCKöln_Away,0,b5b6cc88-4ee2-44ad-bb7e-a2ea8e358883,1eff9d50-0ba9-419e-adc5-f0178d71ebc5,0.048773732,3173,3275,1,103.68269399999998,720.6839431266706,10,30,1,5,1,3,3,3,1,0,4,3,3,0,0,13,12,2,5,6,13,8,1,1,9,6,1,23,47,41,23,0.5296520906479413,2,16.519382555047265,22.939304518700876,2,81.37501666666667
265,LeverkusenVSFCKöln_Away,0,409661d0-a947-4255-a640-1776ac1ede23,acdba8c1-c4c4-46a8-aa96-1a6e08d5642b,0.040050685,3279,3355,1,56.361003999999994,398.4227200169898,9,22,1,1,0,0,2,0,0,0,0,3,0,0,0,0,21,4,3,0,6,17,0,2,5,6,25,22,22,22,19,0.5011377325659216,0,19.80328255618244,14.350912404583836,2,83.12211666666667
